Filename: 

Position of PCB: 
left under edge: X=0 / Y=0 

name	X-axis	Y-axis	angle	value	package	side

REF1T	0.00	0.00	0.00	1mm	Circle	top
REF2T	0.00	0.00	0.00	1mm	Circle	top
REF1B	0.00	0.00	0.00	1mm	Circle	bot
REF2B	0.00	0.00	0.00	1mm	Circle	bot

C1	99.0400	105.6700	180.000	0.1	C0603_3_C0603_0.1	top
C2	231.6700	71.3600	0.000	2.2uFx16V	C0805_C0603_2.2UFX16V	bot
C4	17.7000	76.5000	180.000	2200pF	C0805_1_C0603_2200PF	top
C5	24.8000	84.9000	270.000	2200pF	C0805_1_C0603_2200PF	top
C26	182.7400	33.9800	270.000	33pFx50V	C0805_0_C0402_33PFX50V	bot
C47	179.1300	36.1200	270.000	1uFx25V	C0805_0_C0402_1UFX25V	top
C55	87.7100	79.3600	270.000	0.1uFx50V	C0805_0_C0603_0.1UFX50V	top
C56	86.3600	76.8200	0.000	0.1uFx50V	C0805_0_C0603_0.1UFX50V	top
C61	51.1600	72.2200	270.000	10uFx6.3V	C0603_2_C0603_10UFX6.3V	top
C62	49.0000	70.2300	0.000	0.1uFx50V	C0603_2_C0603_0.1UFX50V	top
C63	59.9400	72.9200	0.000	0.1uFx50V	C0603_2_C0603_0.1UFX50V	top
C67	62.9000	48.1000	180.000	0.1uFx250V	C_0_C1206_0.1UFX250V	bot
C68	68.8700	48.2200	0.000	0.1uFx250V	C_0_C1206_0.1UFX250V	bot
C69	71.4200	67.9100	180.000	100uFx6.3V	C0603_3_C1210_100UFX6.3V	bot
C70	75.6000	58.5400	180.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C71	77.7400	62.2000	180.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C72	78.9900	63.4300	270.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C77	79.7400	58.6300	270.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C78	75.3000	65.3400	180.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C79	66.8800	56.3300	270.000	0.1uFx50V	C0603_3_C0402_0.1UFX50V	top
C80	65.4400	56.3100	270.000	0.1uFx50V	C0603_3_C0402_0.1UFX50V	top
C84	111.6300	51.5400	90.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C85	108.8800	61.2900	270.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C86	108.8600	72.8500	270.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C87	112.8900	66.6400	270.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C88	102.2500	53.9100	0.000	4.7uFx6.3V	C0805_0_C0402_4.7UFX6.3V	bot
C89	104.8700	61.3800	270.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C90	103.2900	61.4100	270.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C91	103.2800	72.7200	270.000	4.7uFx6.3V	C0805_0_C0402_4.7UFX6.3V	bot
C92	104.8700	72.7900	270.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C93	107.2900	72.7600	270.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C94	107.2800	61.3000	270.000	4.7uFx6.3V	C0805_0_C0402_4.7UFX6.3V	bot
C95	104.8700	52.1000	90.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C96	103.4000	51.2000	90.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C97	102.2100	65.3300	0.000	4.7uFx6.3V	C0805_0_C0402_4.7UFX6.3V	bot
C98	104.8900	63.5100	90.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C99	106.4900	63.5100	90.000	0.47uFx6.3V	C0805_0_C0402_0.47UFX6.3V	bot
C100	108.8300	52.0800	90.000	0.1uFx50V	C0805_0_C0402_0.1UFX50V	bot
C101	106.5000	52.1200	90.000	0.1uFx50V	C0805_0_C0402_0.1UFX50V	bot
C102	113.6800	72.8500	270.000	0.1uFx50V	C0805_0_C0402_0.1UFX50V	bot
C103	115.2500	72.8300	270.000	0.1uFx50V	C0805_0_C0402_0.1UFX50V	bot
C105	88.9700	59.0300	180.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C106	88.6000	65.0200	270.000	0.01uFx50V	C0805_0_C0402_0.01UFX50V	bot
C107	79.8800	48.1300	270.000	100uFx6.3V	C0603_3_C1210_100UFX6.3V	bot
C108	74.6900	56.5700	180.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C109	77.3900	52.9800	270.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C110	78.1500	55.3600	270.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C111	84.5700	55.3900	270.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C112	81.3800	57.8600	90.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C113	77.8600	58.1700	180.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C115	90.8200	47.7500	270.000	0.1uFx50V	C0805_0_C0402_0.1UFX50V	bot
C118	81.0400	75.7700	270.000	100uFx6.3V	C0603_3_C1210_100UFX6.3V	bot
C120	74.9000	51.2000	0.000	0.47uFx6.3V	C0603_3_C0402_0.47UFX6.3V	bot
C121	69.5400	52.7700	0.000	100uFx6.3V	C0603_3_C1210_100UFX6.3V	bot
C122	87.7900	66.7200	90.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C123	91.4300	72.1200	90.000	4.7uFx6.3V	C0603_3_C0402_4.7UFX6.3V	bot
C124	99.9400	47.3900	90.000	100uFx6.3V	C0603_3_C1210_100UFX6.3V	bot
