C1 	C0603_3_C0603_0.1 	0.1 	  	C0603 	99.0400 	105.6700 	180.000 	YES
C2 	C0805_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	231.6700 	71.3600 	0.000 	NO
C4 	C0805_1_C0603_2200PF 	2200pF 	  	C0603 	17.7000 	76.5000 	180.000 	YES
C5 	C0805_1_C0603_2200PF 	2200pF 	  	C0603 	24.8000 	84.9000 	270.000 	YES
C26 	C0805_0_C0402_33PFX50V 	33pFx50V 	  	C0402 	182.7400 	33.9800 	270.000 	NO
C47 	C0805_0_C0402_1UFX25V 	1uFx25V 	  	C0402 	179.1300 	36.1200 	270.000 	YES
C55 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	87.7100 	79.3600 	270.000 	YES
C56 	C0805_0_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	86.3600 	76.8200 	0.000 	YES
C61 	C0603_2_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	51.1600 	72.2200 	270.000 	YES
C62 	C0603_2_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	49.0000 	70.2300 	0.000 	YES
C63 	C0603_2_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	59.9400 	72.9200 	0.000 	YES
C67 	C_0_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	62.9000 	48.1000 	180.000 	NO
C68 	C_0_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	68.8700 	48.2200 	0.000 	NO
C69 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	71.4200 	67.9100 	180.000 	NO
C70 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	75.6000 	58.5400 	180.000 	NO
C71 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	77.7400 	62.2000 	180.000 	NO
C72 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	78.9900 	63.4300 	270.000 	NO
C77 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	79.7400 	58.6300 	270.000 	NO
C78 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	75.3000 	65.3400 	180.000 	NO
C79 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	66.8800 	56.3300 	270.000 	YES
C80 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	65.4400 	56.3100 	270.000 	YES
C84 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	111.6300 	51.5400 	90.000 	NO
C85 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	108.8800 	61.2900 	270.000 	NO
C86 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	108.8600 	72.8500 	270.000 	NO
C87 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	112.8900 	66.6400 	270.000 	NO
C88 	C0805_0_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	102.2500 	53.9100 	0.000 	NO
C89 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	104.8700 	61.3800 	270.000 	NO
C90 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	103.2900 	61.4100 	270.000 	NO
C91 	C0805_0_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	103.2800 	72.7200 	270.000 	NO
C92 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	104.8700 	72.7900 	270.000 	NO
C93 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	107.2900 	72.7600 	270.000 	NO
C94 	C0805_0_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	107.2800 	61.3000 	270.000 	NO
C95 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	104.8700 	52.1000 	90.000 	NO
C96 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	103.4000 	51.2000 	90.000 	NO
C97 	C0805_0_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	102.2100 	65.3300 	0.000 	NO
C98 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	104.8900 	63.5100 	90.000 	NO
C99 	C0805_0_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	106.4900 	63.5100 	90.000 	NO
C100 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	108.8300 	52.0800 	90.000 	NO
C101 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	106.5000 	52.1200 	90.000 	NO
C102 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	113.6800 	72.8500 	270.000 	NO
C103 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	115.2500 	72.8300 	270.000 	NO
C105 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	88.9700 	59.0300 	180.000 	NO
C106 	C0805_0_C0402_0.01UFX50V 	0.01uFx50V 	  	C0402 	88.6000 	65.0200 	270.000 	NO
C107 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	79.8800 	48.1300 	270.000 	NO
C108 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	74.6900 	56.5700 	180.000 	NO
C109 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	77.3900 	52.9800 	270.000 	NO
C110 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	78.1500 	55.3600 	270.000 	NO
C111 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	84.5700 	55.3900 	270.000 	NO
C112 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	81.3800 	57.8600 	90.000 	NO
C113 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	77.8600 	58.1700 	180.000 	NO
C115 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	90.8200 	47.7500 	270.000 	NO
C118 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	81.0400 	75.7700 	270.000 	NO
C120 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	74.9000 	51.2000 	0.000 	NO
C121 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	69.5400 	52.7700 	0.000 	NO
C122 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	87.7900 	66.7200 	90.000 	NO
C123 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	91.4300 	72.1200 	90.000 	NO
C124 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	99.9400 	47.3900 	90.000 	NO
C125 	C0805_0_C0402_0.1UFX50V_EMK105B 	0.1uFx50V 	  	C0402 	117.9700 	55.4500 	0.000 	NO
C126 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	86.6000 	72.2900 	90.000 	NO
C127 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	88.4900 	71.6200 	90.000 	NO
C128 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	93.5700 	71.4900 	0.000 	NO
C129 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	87.3400 	63.8100 	180.000 	NO
C130 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	87.3400 	58.2100 	180.000 	NO
C131 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	80.6200 	54.6100 	270.000 	NO
C132 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	80.9000 	63.0900 	0.000 	NO
C133 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	96.0500 	47.3900 	270.000 	NO
C134 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	94.2700 	59.0000 	0.000 	NO
C135 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	89.7800 	62.2900 	0.000 	NO
C136 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	88.5900 	60.9300 	270.000 	NO
C137 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	92.2300 	63.0000 	0.000 	NO
C138 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	94.5100 	56.1600 	0.000 	NO
C139 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	85.7400 	70.2200 	180.000 	NO
C140 	C0805_0_C0402_0.1UFX50V_EMK105B 	0.1uFx50V 	  	C0402 	114.6300 	55.5600 	0.000 	NO
C141 	C0805_0_C0402_0.1UFX50V_TWK105B 	0.1uFx50V 	  	C0402 	116.6000 	48.7300 	270.000 	NO
C142 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	107.8100 	77.4600 	0.000 	YES
C143 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	89.1900 	52.1000 	270.000 	NO
C144 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	90.6500 	52.1100 	270.000 	NO
C145 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	74.8000 	78.6000 	180.000 	YES
C146 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	86.2000 	53.0200 	270.000 	NO
C147 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	82.5800 	52.3500 	270.000 	NO
C149 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	84.6000 	57.4900 	270.000 	NO
C151 	C0805_0_C0402_0.1UFX50V_TWK105B 	0.1uFx50V 	  	C0402 	114.7100 	48.5300 	270.000 	NO
C152 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	83.4000 	59.8200 	180.000 	NO
C153 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	82.5100 	65.3300 	180.000 	NO
C154 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	82.1900 	61.8400 	90.000 	NO
C155 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	87.1800 	60.5500 	180.000 	NO
C156 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	86.5900 	65.4300 	180.000 	NO
C157 	D_0_C2917_470UFX4V_T520D477M 	470uFx4V 	  	C2917 	68.5800 	48.1300 	0.000 	YES
C158 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	82.9900 	63.4600 	90.000 	NO
C159 	C0805_0_C0402_0.1UFX50V_EMK105B 	0.1uFx50V 	  	C0402 	107.0000 	57.2000 	180.000 	NO
C160 	C0805_0_C0402_0.1UFX50V_TWK105B 	0.1uFx50V 	  	C0402 	113.0200 	48.5300 	270.000 	NO
